"continent","who_region","country_region","iso3c","province_state","ts","cases","who_region_code","world_bank_income_group","world_bank_income_group_code","world_bank_income_group_gni_reference_year","world_bank_income_group_release_date"
"Globally",NA,"Globally","Globally","Deaths",2020-01-29,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-01-30,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-01-31,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-01,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-02,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-03,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-04,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-05,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-06,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-07,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-08,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-09,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-10,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-11,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-12,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-13,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-14,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-15,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-16,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-17,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-18,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-19,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-20,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-21,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-22,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-23,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-24,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-25,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-26,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-27,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-28,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-02-29,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-01,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-02,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-03,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-04,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-05,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-06,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-07,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-08,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-09,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-10,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-11,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-12,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-13,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-14,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-15,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-16,NA,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-17,7426,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-18,7807,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-19,8778,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-20,9840,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Deaths",2020-03-21,11184,NA,NA,NA,NA,NA
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-21,278,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-22,309,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-23,571,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-24,830,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-25,1297,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-26,1985,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-27,2741,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-28,4537,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-29,5997,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-30,7736,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-01-31,9720,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-01,11821,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-02,14411,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-03,17238,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-04,20471,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-05,24363,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-06,28060,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-07,31211,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-08,34598,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-09,37251,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-10,40235,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-11,42708,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-12,44730,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-13,46550,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-14,48548,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-15,50054,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-16,51174,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-17,70635,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-18,72528,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-19,74280,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-20,74675,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-21,75569,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-22,76392,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-23,77042,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-24,77262,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-25,77780,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-26,78191,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-27,78630,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-28,78961,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-02-29,79394,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-01,79968,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-02,80174,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-03,80304,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-04,80422,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-05,80565,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-06,80711,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-07,80813,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-08,80859,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-09,80904,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-10,80924,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-11,80955,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-12,80981,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-13,80991,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-14,81021,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-15,81048,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-16,81077,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-17,81116,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-18,81116,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-19,81174,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-20,81300,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Confirmed",2020-03-21,81416,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-21,4,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-22,5,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-23,10,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-24,16,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-25,23,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-26,29,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-27,57,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-28,56,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-29,68,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-30,82,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-01-31,106,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-01,132,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-02,146,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-03,153,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-04,159,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-05,191,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-06,216,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-07,270,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-08,288,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-09,307,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-10,319,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-11,395,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-12,441,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-13,447,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-14,505,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-15,526,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-16,683,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-17,794,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-18,804,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-19,924,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-20,1073,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-21,1200,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-22,1402,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-23,1769,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-24,2069,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-25,2459,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-26,2918,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-27,3664,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-28,4691,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-02-29,6009,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-01,7169,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-02,8774,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-03,10566,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-04,12669,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-05,14759,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-06,17481,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-07,21110,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-08,24727,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-09,28673,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-10,32778,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-11,37364,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-12,44067,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-13,51767,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-14,61518,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-15,72469,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-16,86438,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-17,97995,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-18,110011,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-19,128665,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-20,152773,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia",NA,"Outside of China","CHN","Confirmed",2020-03-21,184657,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-21,NA,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-22,NA,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-23,NA,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-24,NA,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-25,NA,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-26,NA,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-27,80,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-28,106,"WPR","Upper middle income","WB_UMI","2017","2018"
"Asia","Western Pacific Region","China","CHN","Deaths",2020-01-29,132,"WPR","Upper middle income","WB_UMI","2017","2018"
