"continent","iso3c","country_region","province_state","ts","confirmed","who_region_code","who_region","world_bank_income_group","world_bank_income_group_code","world_bank_income_group_gni_reference_year","world_bank_income_group_release_date","deaths","recovered","lat","lon"
"Asia","THA","Thailand",NA,2020-03-11,59,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",1,34,15,101
"Asia","THA","Thailand",NA,2020-03-12,70,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",1,34,15,101
"Asia","THA","Thailand",NA,2020-03-13,75,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",1,35,15,101
"Asia","THA","Thailand",NA,2020-03-14,82,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",1,35,15,101
"Asia","MDV","Maldives",NA,2020-01-22,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-23,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-24,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-25,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-26,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-27,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-28,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-29,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-30,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-01-31,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-01,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-02,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-03,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-04,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-05,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-06,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-07,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-08,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-09,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-10,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-11,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-12,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-13,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-14,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-15,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-16,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-17,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-18,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-19,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-20,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-21,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-22,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-23,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-24,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-25,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-26,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-27,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-28,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-02-29,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-01,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-02,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-03,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-04,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-05,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-06,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-07,0,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-08,4,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-09,4,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-10,6,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-11,8,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-12,8,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-13,9,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","MDV","Maldives",NA,2020-03-14,10,"SEAR","South-East Asia","Upper middle income","WB_UMI","2017","2018",0,0,3.2028,73.2207
"Asia","NPL","Nepal",NA,2020-01-22,0,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-23,0,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-24,0,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-25,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-26,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-27,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-28,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-29,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-30,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-01-31,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-01,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-02,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-03,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-04,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-05,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-06,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-07,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-08,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-09,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-10,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-11,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,0,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-12,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-13,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-14,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-15,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-16,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-17,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-18,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-19,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-20,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-21,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-22,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-23,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-24,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-25,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-26,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-27,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-28,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-02-29,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-01,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-02,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-03,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-04,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-05,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-06,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-07,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-08,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-09,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-10,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-11,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-12,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-13,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","NPL","Nepal",NA,2020-03-14,1,"SEAR","South-East Asia","Low income","WB_LI","2017","2018",0,1,28.1667,84.25
"Asia","LKA","Sri Lanka",NA,2020-01-22,0,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-23,0,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-24,0,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-25,0,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-26,0,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-27,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-28,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-29,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-30,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-01-31,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-01,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-02,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-03,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-04,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-05,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-06,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-07,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,0,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-08,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-09,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-10,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-11,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-12,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-13,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-14,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-15,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-16,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-17,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-18,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-19,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-20,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-21,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-22,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-23,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-24,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-25,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-26,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-27,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-28,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-02-29,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
"Asia","LKA","Sri Lanka",NA,2020-03-01,1,"SEAR","South-East Asia","Lower middle income","WB_LMI","2017","2018",0,1,7,81
